Series Id,Year,Period,Value,series_title
APU0000701111,2017,M12,0.462,"Flour, white, all purpose, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000701312,2017,M12,0.711,"Rice, white, long grain, uncooked, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000701322,2017,M12,1.235,"Spaghetti and macaroni, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000702111,2017,M12,1.316,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000702212,2017,M12,1.970,"Bread, whole wheat, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000702421,2017,M12,3.601,"Cookies, chocolate chip, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000703111,2017,M12,3.729,"Ground chuck, 100% beef, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000703112,2017,M12,3.708,"Ground beef, 100% beef, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000703113,2017,M12,5.516,"Ground beef, lean and extra lean, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000703212,2017,M12,4.624,"Chuck roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000703213,2017,M12,5.120,"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000703311,2017,M12,5.020,"Round roast, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000703432,2017,M12,5.343,"Beef for stew, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000703511,2017,M12,5.832,"Steak, round, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000703512,2017,M12,5.943,"Steak, round, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000703612,2017,M12,7.423,"Steak, sirloin, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000703613,2017,M12,7.927,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000704111,2017,M12,5.629,"Bacon, sliced, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000704211,2017,M12,3.809,"Chops, center cut, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000704212,2017,M12,3.664,"Chops, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000704312,2017,M12,3.869,"Ham, boneless, excluding canned, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000705111,2017,M12,2.925,"Frankfurters, all meat or all beef, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000705121,2017,M12,2.808,"Bologna, all beef or mixed, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000706111,2017,M12,1.470,"Chicken, fresh, whole, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000706212,2017,M12,1.461,"Chicken legs, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000706311,2017,M12,1.502,"Turkey, frozen, whole, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000708111,2017,M12,1.815,"Eggs, grade A, large, per doz. in U.S. city average, average price, not seasonally adjusted"
APU0000709112,2017,M12,3.155,"Milk, fresh, whole, fortified, per gal. (3.8 lit) in U.S. city average, average price, not seasonally adjusted"
APU0000710211,2017,M12,4.130,"American processed cheese, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000710212,2017,M12,4.950,"Cheddar cheese, natural, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000710411,2017,M12,4.758,"Ice cream, prepackaged, bulk, regular, per 1/2 gal. (1.9 lit) in U.S. city average, average price, not seasonally adjusted"
APU0000711211,2017,M12,0.558,"Bananas, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000711311,2017,M12,1.315,"Oranges, Navel, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000711411,2017,M12,1.330,"Grapefruit, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000711412,2017,M12,1.989,"Lemons, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000711413,2017,M12,1.545,"Pears, Anjou, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000711415,2017,M12,3.089,"Strawberries, dry pint, per 12 oz. (340.2 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000711417,2017,M12,2.606,"Grapes, Thompson Seedless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000712112,2017,M12,0.731,"Potatoes, white, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000712211,2017,M12,1.008,"Lettuce, iceberg, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000712311,2017,M12,2.237,"Tomatoes, field grown, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000712406,2017,M12,2.422,"Peppers, sweet, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000712412,2017,M12,1.765,"Broccoli, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000713111,2017,M12,2.615,"Orange juice, frozen concentrate, 12 oz. can, per 16 oz. (473.2 ml) in U.S. city average, average price, not seasonally adjusted"
APU0000714233,2017,M12,1.368,"Beans, dried, any type, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000715211,2017,M12,0.646,"Sugar, white, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000716116,2017,M12,1.697,"Margarine, soft, tubs, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000716141,2017,M12,2.480,"Peanut butter, creamy, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000717311,2017,M12,4.285,"Coffee, 100%, ground roast, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000718311,2017,M12,4.431,"Potato chips, per 16 oz. in U.S. city average, average price, not seasonally adjusted"
APU0000720111,2017,M12,1.421,"Malt beverages, all types, all sizes, any origin, per 16 oz. (473.2 ml) in U.S. city average, average price, not seasonally adjusted"
APU0000720222,2017,M12,14.856,"Vodka, all types, all sizes, any origin, per 1 liter (33.8 oz) in U.S. city average, average price, not seasonally adjusted"
APU0000720311,2017,M12,12.925,"Wine, red and white table, all sizes, any origin, per 1 liter (33.8 oz) in U.S. city average, average price, not seasonally adjusted"
APU000072511,2017,M12,2.703,"Fuel oil #2 per gallon (3.785 liters) in U.S. city average, average price, not seasonally adjusted"
APU000072610,2017,M12,0.136,"Electricity per KWH in U.S. city average, average price, not seasonally adjusted"
APU000072620,2017,M12,1.042,"Utility (piped) gas per therm in U.S. city average, average price, not seasonally adjusted"
APU000074714,2017,M12,2.459,"Gasoline, unleaded regular, per gallon/3.785 liters in U.S. city average, average price, not seasonally adjusted"
APU000074715,2017,M12,2.776,"Gasoline, unleaded midgrade, per gallon/3.785 liters in U.S. city average, average price, not seasonally adjusted"
APU000074716,2017,M12,2.985,"Gasoline, unleaded premium, per gallon/3.785 liters in U.S. city average, average price, not seasonally adjusted"
APU000074717,2017,M12,2.886,"Automotive diesel fuel, per gallon/3.785 liters in U.S. city average, average price, not seasonally adjusted"
APU00007471A,2017,M12,2.521,"Gasoline, all types, per gallon/3.785 liters in U.S. city average, average price, not seasonally adjusted"
APU0000FC1101,2017,M12,4.128,"All uncooked ground beef, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000FC2101,2017,M12,5.207,"All Uncooked Beef Roasts, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000FC3101,2017,M12,7.364,"All Uncooked Beef Steaks, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000FC4101,2017,M12,4.653,"All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000FD2101,2017,M12,2.914,"All Ham (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000FD3101,2017,M12,3.302,"All Pork Chops, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000FD4101,2017,M12,2.596,"All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000FF1101,2017,M12,3.192,"Chicken breast, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
APU0000FL2101,2017,M12,2.159,"Lettuce, romaine, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted"
